original_name,molecular_formula,material_name
Active carbon,C,Carbon
AQDS,C14H8O8S2,AQDS
CaCl2,CaCl2,
Carbonate Electrolyte,,
Cd(OH)2,Cd(OH)2,
CrCl3 6H2O,CrCl3(H2O)6,
CuCl,CuCl,
Cu-PBA,,
FeCl2,FeCl2,
DI H2O,H2O,Water
Graphite,C6,Graphite
H2SO4,H2SO4,
HBr,HBr,
HCl,HCl,
KOH,KOH,
LaNi5,LaNi5,
LCO,LiCoO2,
LFP,LiFePO4,
Li2S,Li2S,
Li2SO4,Li2SO4,
LiOH H2O,LiOH(H2O),
Lithium metal,Li,Lithium
LMO,LiMn2O4,
LMP,LiMnPO4,
LNMO,LiMn1.5Ni0.5O4,
LRMO LMNO,(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,
LTO,Li4Ti5O12,
Mg,Mg,
MnO2,MnO2,
MoS2,MoS2,
Na,Na,
Na2S,Na2S,
Na2SO4,Na2SO4,
Na2Zn(OH)4,Na2Zn(OH)4,
NaBr,NaBr,
NaCl,NaCl,
NaOH,NaOH,
NCA,LiNi0.8Co0.15Al0.05O2,
NCM111,LiNi0.33Co0.33Mn0.33O2,
NCM622,LiNi0.6Co0.2Mn0.2O2,
NH4Cl,NH4Cl,
Ni(OH)2,Ni(OH)2,
NiCl2 6H2O,NiCl2(H2O)6,
NMO,Na0.44MnO2,
NTP,NaTi2(PO4)3,
P2-Na2Mn2NiO6,Na0.67Mn0.67Ni0.33O2,
Pb,Pb,
Pb2Sb,Pb2Sb,
PPy-AC,,
S,S,
Si,Si,
Ti2S4,Ti2S4,
TiS2,TiS2,
VOSO4 4H2O,VOSO4(H2O)4,
Zn,Zn,
Zn0.25V2O5,Zn0.25V2O5,
ZnBr2,ZnBr2,
ZnSO4 7H2O,ZnSO4(H2O)7,
