index,search_text,price,min_order,title,link
Cd(OH)2,Cd(OH)2 cadmium hydroxide,$10.00,1000.0 Kilograms,Cadmium hydroxide Cd(OH)2 CAS 21041-95-2,https://www.alibaba.com/product-detail/Cadmium-hydroxide-Cd-OH-2-CAS_573991118.html
CdCO3,CdCO3 cadmium carbonate,$500.00,10.0 Metric Tons,Zinc Hydroxide Zn(OH)2 CAS 20427-58-1,https://www.alibaba.com/product-detail/quality-industrial-Cadmium-Carbonate_11000000302128.html?spm=a2700.galleryofferlist.normal_offer.d_title.2282377aapuH8m
Zn(OH)2,Zn(OH)2 zinc hydroxide,"$1,000.00",1 Metric Ton,Zinc Hydroxide Zn(OH)2 CAS 20427-58-1,https://www.alibaba.com/product-detail/Zinc-Hydroxide-Zn-OH-2-CAS_573828343.html
BaO2,BaO2 barium oxide,$10.00,1.0 Kilograms,Lukong Supply 99% Barium Oxide Powder for Sale Barium Oxide,https://www.alibaba.com/product-detail/Lukong-Supply-99-Barium-Oxide-Powder_1600452959529.html?spm=a2700.galleryofferlist.normal_offer.d_title.5a9c1f9bvCniMi
CNT,Carbon Nanotube,$100.00,1000 Kilograms,Industrial Grade Multi Walled Carbon Nanotubes Powder Price MWCNTs,https://www.alibaba.com/product-detail/Industrial-Grade-Multi-Walled-Carbon-Nanotubes_1600261135010.html?spm=a2700.7724857.normal_offer.d_title.188e249abm1JaT
Graphene Oxide,Graphene Oxide,$400.00,1 Kilogram,Hot Sale High Quality Single Layer Graphene Oxide Powder,https://www.alibaba.com/product-detail/Hot-Sale-High-Quality-Single-Layer_2014447663.html?spm=a2700.galleryofferlist.topad_classic.d_title.33826445ouEIPk
Ba,Barium,$120,1 Kilogram,High purity 99.9% Ba granules barium metal manufacture pric,https://www.alibaba.com/product-detail/High-purity-99-9-Ba-granules_1600272056627.html?spm=a2700.galleryofferlist.normal_offer.d_title.10c356b4tLJPj7
Sand,Sand,$110,1 Metric Ton,Round sand quartz rounded 0-0.16mm for football,https://www.alibaba.com/product-detail/Sand-Sand-Round-Sand-Quartz-Rounded_1600465480796.html?spm=a2700.galleryofferlist.normal_offer.d_title.586c3f68hdBkic&s=p
Sand,Sand,$60,1 Metric Ton,70-110 mesh desert sand Round sand Decorative supplier,https://www.alibaba.com/product-detail/Sand-Sandsand-70-110-Mesh-Desert_1600229120509.html?spm=a2700.galleryofferlist.normal_offer.d_title.586c3f68hdBkic&s=p
AQDS,Anthraquinone,$5.5,10 Kilogram,High Quality 98.5% Anthraquinone Powder CAS 84-65-1,https://www.alibaba.com/product-detail/High-Quality-98-5-Anthraquinone-Powder_1600433568725.html?spm=a2700.galleryofferlist.normal_offer.d_title.4b4c6b46zBoCmW&s=p
Bipyridine,"4,4'-Bipyridine",$1,100 Kilogram,"Factory Supply Chemicals materials 4,4'-Bipyridine CAS 553-26-4",https://www.alibaba.com/product-detail/Factory-Supply-Chemicals-materials-4-4_1600465967715.html?spm=a2700.galleryofferlist.normal_offer.d_title.2b7e68edEZSwKJ&s=p
Bipyridine,"4,4'-Bipyridine",$7.00,1000 Kilogram,"4,4'-Bipyridine CAS 553-26-4",https://www.alibaba.com/product-detail/4-4-Bipyridine-CAS-553-26_1600301932062.html?spm=a2700.galleryofferlist.normal_offer.d_title.180514d9yPV1VU
K4Fe(CN)6,Potassium ferrocyanide,$6,250 Kilogram,Potassium Ferrocyanide cas no 13943-58-3 Tech Grade,https://www.alibaba.com/product-detail/Potassium-Ferrocyanide-cas-no-13943-58_60767551078.html?spm=a2700.galleryofferlist.normal_offer.d_title.7bcf76a6i6T1Qs
K4Fe(CN)6,Potassium ferrocyanide,$2.55,1000 Kilogram,potassium ferrocyanide trihydrate chemical formula K4[Fe(CN)6].3H2O,https://www.alibaba.com/product-detail/potassium-ferrocyanide-trihydrate-chemical-formula-K4_60252192413.html?spm=a2700.galleryofferlist.normal_offer.d_title.56f8332fEjQNpI
